scenario,run_id,task_completed,total_operations,authorized_operations,unauthorized_attempts,unauthorized_blocked,false_revocation,missed_detection,initial_state,final_state,final_m_t,final_m_u,final_m_theta,maximum_conflict,detection_latency_ms,revocation_latency_ms,execution_time_ms,capabilities_revoked,evidence_count,notes
accidental_violation,0,True,3,2,1,1,False,False,NORMAL,RESTRICTED,0.8145,0.1542,0.0312,0.5275,0.2774,0.0035,1.1528,0,3,1 auth read + 1 accidental write attempt + 1 post-violation read attempt
accidental_violation,1,True,3,2,1,1,False,False,NORMAL,RESTRICTED,0.8145,0.1542,0.0312,0.5275,0.2357,0.0037,0.9234,0,3,1 auth read + 1 accidental write attempt + 1 post-violation read attempt
accidental_violation,2,True,3,2,1,1,False,False,NORMAL,RESTRICTED,0.8145,0.1542,0.0312,0.5275,0.1508,0.0018,0.5576,0,3,1 auth read + 1 accidental write attempt + 1 post-violation read attempt
accidental_violation,3,True,3,2,1,1,False,False,NORMAL,RESTRICTED,0.8145,0.1542,0.0312,0.5275,0.1766,0.0027,0.8415,0,3,1 auth read + 1 accidental write attempt + 1 post-violation read attempt
accidental_violation,4,True,3,2,1,1,False,False,NORMAL,RESTRICTED,0.8145,0.1542,0.0312,0.5275,0.1425,0.0019,0.653,0,3,1 auth read + 1 accidental write attempt + 1 post-violation read attempt
accidental_violation,5,True,3,2,1,1,False,False,NORMAL,RESTRICTED,0.8145,0.1542,0.0312,0.5275,0.1211,0.0022,0.6719,0,3,1 auth read + 1 accidental write attempt + 1 post-violation read attempt
accidental_violation,6,True,3,2,1,1,False,False,NORMAL,RESTRICTED,0.8145,0.1542,0.0312,0.5275,0.0497,0.001,0.221,0,3,1 auth read + 1 accidental write attempt + 1 post-violation read attempt
accidental_violation,7,True,3,2,1,1,False,False,NORMAL,RESTRICTED,0.8145,0.1542,0.0312,0.5275,0.0512,0.0007,0.2985,0,3,1 auth read + 1 accidental write attempt + 1 post-violation read attempt
accidental_violation,8,True,3,2,1,1,False,False,NORMAL,RESTRICTED,0.8145,0.1542,0.0312,0.5275,0.0463,0.0008,0.1847,0,3,1 auth read + 1 accidental write attempt + 1 post-violation read attempt
accidental_violation,9,True,3,2,1,1,False,False,NORMAL,RESTRICTED,0.8145,0.1542,0.0312,0.5275,0.0536,0.0009,0.1968,0,3,1 auth read + 1 accidental write attempt + 1 post-violation read attempt
