scenario,run_id,task_completed,total_operations,authorized_operations,unauthorized_attempts,unauthorized_blocked,false_revocation,missed_detection,initial_state,final_state,final_m_t,final_m_u,final_m_theta,maximum_conflict,detection_latency_ms,revocation_latency_ms,execution_time_ms,capabilities_revoked,evidence_count,notes
conflicting_evidence,0,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.2696,0.0028,1.012,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,1,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.2261,0.0024,0.8711,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,2,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.1886,0.0022,0.7566,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,3,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.1736,0.0026,0.6496,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,4,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.2633,0.0027,1.0698,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,5,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.2237,0.0048,0.8521,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,6,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.232,0.0029,0.5938,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,7,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.085,0.0009,0.3463,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,8,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.0833,0.0011,0.3277,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,9,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.1541,0.0014,0.5566,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,10,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.2874,0.0021,0.9568,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,11,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.1203,0.001,0.4221,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,12,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.0894,0.001,0.3389,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,13,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.0885,0.001,0.333,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,14,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.0732,0.0009,0.3277,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,15,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.1785,0.0017,0.7619,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,16,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.2728,0.003,1.0308,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,17,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.1421,0.0016,0.5215,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,18,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.2376,0.0022,0.863,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,19,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.1237,0.0016,0.483,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,20,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.0946,0.0008,0.3337,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,21,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.1292,0.0019,0.5773,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,22,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.0853,0.0009,0.3168,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,23,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.1973,0.0014,0.7596,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,24,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.1414,0.002,0.6269,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,25,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.1415,0.0015,0.533,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,26,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.1347,0.0009,0.5447,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,27,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.0845,0.0011,0.3351,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,28,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.0904,0.0011,0.4359,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
conflicting_evidence,29,True,4,2,2,2,False,False,NORMAL,RESTRICTED,0.5826,0.3989,0.0185,0.5779,0.1033,0.0018,0.4371,1,4,Alternating auth READ and unauth file access to generate high D-S conflict K
