scenario,run_id,task_completed,total_operations,authorized_operations,unauthorized_attempts,unauthorized_blocked,false_revocation,missed_detection,initial_state,final_state,final_m_t,final_m_u,final_m_theta,maximum_conflict,detection_latency_ms,revocation_latency_ms,execution_time_ms,capabilities_revoked,evidence_count,notes
normal_agent,0,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.1895,0,2,2 authorized ops: READ + WRITE
normal_agent,1,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.2181,0,2,2 authorized ops: READ + WRITE
normal_agent,2,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.1749,0,2,2 authorized ops: READ + WRITE
normal_agent,3,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.1492,0,2,2 authorized ops: READ + WRITE
normal_agent,4,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.2523,0,2,2 authorized ops: READ + WRITE
normal_agent,5,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.1365,0,2,2 authorized ops: READ + WRITE
normal_agent,6,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.2299,0,2,2 authorized ops: READ + WRITE
normal_agent,7,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.2121,0,2,2 authorized ops: READ + WRITE
normal_agent,8,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.1462,0,2,2 authorized ops: READ + WRITE
normal_agent,9,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.2395,0,2,2 authorized ops: READ + WRITE
normal_agent,10,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.1399,0,2,2 authorized ops: READ + WRITE
normal_agent,11,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.247,0,2,2 authorized ops: READ + WRITE
normal_agent,12,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.1443,0,2,2 authorized ops: READ + WRITE
normal_agent,13,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.2299,0,2,2 authorized ops: READ + WRITE
normal_agent,14,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.3115,0,2,2 authorized ops: READ + WRITE
normal_agent,15,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.2773,0,2,2 authorized ops: READ + WRITE
normal_agent,16,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.2014,0,2,2 authorized ops: READ + WRITE
normal_agent,17,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.2074,0,2,2 authorized ops: READ + WRITE
normal_agent,18,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.1805,0,2,2 authorized ops: READ + WRITE
normal_agent,19,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.1425,0,2,2 authorized ops: READ + WRITE
normal_agent,20,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.2092,0,2,2 authorized ops: READ + WRITE
normal_agent,21,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.3112,0,2,2 authorized ops: READ + WRITE
normal_agent,22,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.1277,0,2,2 authorized ops: READ + WRITE
normal_agent,23,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.1564,0,2,2 authorized ops: READ + WRITE
normal_agent,24,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.198,0,2,2 authorized ops: READ + WRITE
normal_agent,25,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.1815,0,2,2 authorized ops: READ + WRITE
normal_agent,26,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.1686,0,2,2 authorized ops: READ + WRITE
normal_agent,27,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.1693,0,2,2 authorized ops: READ + WRITE
normal_agent,28,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.1678,0,2,2 authorized ops: READ + WRITE
normal_agent,29,True,2,2,0,0,False,False,NORMAL,NORMAL,0.9324,0.0243,0.0432,0.075,,,0.2658,0,2,2 authorized ops: READ + WRITE
