scenario,run_id,task_completed,total_operations,authorized_operations,unauthorized_attempts,unauthorized_blocked,false_revocation,missed_detection,initial_state,final_state,final_m_t,final_m_u,final_m_theta,maximum_conflict,detection_latency_ms,revocation_latency_ms,execution_time_ms,capabilities_revoked,evidence_count,notes
repeated_violation,0,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0565,0.001,0.3526,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,1,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0615,0.0011,0.3779,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,2,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0593,0.0011,0.359,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,3,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0606,0.0011,0.3562,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,4,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0555,0.001,0.3293,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,5,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0528,0.0008,0.341,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,6,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0336,0.0009,0.2184,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,7,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.037,0.0006,0.2094,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,8,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0336,0.0006,0.1989,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,9,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.033,0.0006,0.1944,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,10,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0325,0.0007,0.1929,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,11,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.032,0.0006,0.1889,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,12,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0313,0.0005,0.1911,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,13,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0318,0.0006,0.1925,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,14,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0322,0.0007,0.1865,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,15,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0317,0.0005,0.1858,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,16,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0314,0.0006,0.1876,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,17,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0315,0.0006,0.1905,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,18,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0312,0.0006,0.1885,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,19,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0314,0.0006,0.1887,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,20,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0332,0.0006,0.1965,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,21,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0314,0.0008,0.1901,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,22,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0329,0.0007,0.1932,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,23,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0326,0.0006,0.1939,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,24,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0325,0.0007,0.1906,2,4,1 authorized read + 4 unauthorized network (escalating)
repeated_violation,25,True,5,1,4,4,False,False,NORMAL,CRITICAL,0.0639,0.9299,0.0062,0.4849,0.0318,0.0006,0.1864,2,4,1 authorized read + 4 unauthorized network (escalating)
