scenario,run_id,task_completed,total_operations,authorized_operations,unauthorized_attempts,unauthorized_blocked,false_revocation,missed_detection,initial_state,final_state,final_m_t,final_m_u,final_m_theta,maximum_conflict,detection_latency_ms,revocation_latency_ms,execution_time_ms,capabilities_revoked,evidence_count,notes
severe_violation,0,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.0784,0.0024,0.4798,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,1,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.1457,0.003,0.8775,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,2,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.1108,0.0033,0.6447,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,3,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.1804,0.0036,0.8394,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,4,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.0797,0.0015,0.4265,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,5,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.0663,0.0012,0.392,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,6,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.0603,0.0012,0.5835,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,7,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.0984,0.0015,0.4833,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,8,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.1139,0.0012,0.516,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,9,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.0545,0.0009,0.2893,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,10,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.0919,0.0018,0.4936,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,11,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.0894,0.0017,0.4977,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,12,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.0688,0.0016,0.4047,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,13,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.0595,0.0013,0.3426,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,14,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.0464,0.001,0.2486,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,15,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.0391,0.0009,0.2329,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
severe_violation,16,True,4,1,3,3,False,False,NORMAL,CRITICAL,0.071,0.9218,0.0072,0.5043,0.0868,0.0015,0.4615,1,4,"1 auth read + 3 severe multi-vector violations (EXECUTE, NETWORK, DELETE)"
