restriction_threshold,critical_threshold,normal_frr,normal_completion_rate,unauth_network_blocking_rate,unauth_file_blocking_rate,repeated_violation_blocking_rate,severe_violation_critical_rate,conflicting_max_k
0.5,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.5,0.8,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.5,0.85,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.5,0.9,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.5,0.95,0.0,1.0,1.0,1.0,1.0,0.0,0.5779
0.55,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.55,0.8,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.55,0.85,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.55,0.9,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.55,0.95,0.0,1.0,1.0,1.0,1.0,0.0,0.5779
0.6,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.6,0.8,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.6,0.85,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.6,0.9,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.6,0.95,0.0,1.0,1.0,1.0,1.0,0.0,0.5779
0.65,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.65,0.8,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.65,0.85,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.65,0.9,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.65,0.95,0.0,1.0,1.0,1.0,1.0,0.0,0.5779
0.7,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.7,0.8,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.7,0.85,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.7,0.9,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.7,0.95,0.0,1.0,1.0,1.0,1.0,0.0,0.5779
0.75,0.8,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.75,0.85,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.75,0.9,0.0,1.0,1.0,1.0,1.0,1.0,0.5779
0.75,0.95,0.0,1.0,1.0,1.0,1.0,0.0,0.5779
