scenario,run_id,task_completed,total_operations,authorized_operations,unauthorized_attempts,unauthorized_blocked,false_revocation,missed_detection,initial_state,final_state,final_m_t,final_m_u,final_m_theta,maximum_conflict,detection_latency_ms,revocation_latency_ms,execution_time_ms,capabilities_revoked,evidence_count,notes
unauthorized_file,0,True,2,1,1,1,False,False,NORMAL,RESTRICTED,0.4974,0.3968,0.1058,0.5275,0.1812,0.0022,0.3995,1,2,1 authorized read + 1 unauthorized private file read
unauthorized_file,1,True,2,1,1,1,False,False,NORMAL,RESTRICTED,0.4974,0.3968,0.1058,0.5275,0.1785,0.002,0.3885,1,2,1 authorized read + 1 unauthorized private file read
unauthorized_file,2,True,2,1,1,1,False,False,NORMAL,RESTRICTED,0.4974,0.3968,0.1058,0.5275,0.2378,0.0027,0.4987,1,2,1 authorized read + 1 unauthorized private file read
unauthorized_file,3,True,2,1,1,1,False,False,NORMAL,RESTRICTED,0.4974,0.3968,0.1058,0.5275,0.2007,0.0021,0.4222,1,2,1 authorized read + 1 unauthorized private file read
unauthorized_file,4,True,2,1,1,1,False,False,NORMAL,RESTRICTED,0.4974,0.3968,0.1058,0.5275,0.1525,0.0018,0.3154,1,2,1 authorized read + 1 unauthorized private file read
unauthorized_file,5,True,2,1,1,1,False,False,NORMAL,RESTRICTED,0.4974,0.3968,0.1058,0.5275,0.3738,0.0019,0.5426,1,2,1 authorized read + 1 unauthorized private file read
unauthorized_file,6,True,2,1,1,1,False,False,NORMAL,RESTRICTED,0.4974,0.3968,0.1058,0.5275,0.1574,0.0024,0.3163,1,2,1 authorized read + 1 unauthorized private file read
unauthorized_file,7,True,2,1,1,1,False,False,NORMAL,RESTRICTED,0.4974,0.3968,0.1058,0.5275,0.1135,0.0007,0.262,1,2,1 authorized read + 1 unauthorized private file read
unauthorized_file,8,True,2,1,1,1,False,False,NORMAL,RESTRICTED,0.4974,0.3968,0.1058,0.5275,0.0728,0.0007,0.1581,1,2,1 authorized read + 1 unauthorized private file read
unauthorized_file,9,True,2,1,1,1,False,False,NORMAL,RESTRICTED,0.4974,0.3968,0.1058,0.5275,0.0826,0.0009,0.17,1,2,1 authorized read + 1 unauthorized private file read
