scenario,run_id,task_completed,total_operations,authorized_operations,unauthorized_attempts,unauthorized_blocked,false_revocation,missed_detection,initial_state,final_state,final_m_t,final_m_u,final_m_theta,maximum_conflict,detection_latency_ms,revocation_latency_ms,execution_time_ms,capabilities_revoked,evidence_count,notes
unauthorized_network,0,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.1259,0.0019,0.3682,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,1,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.1098,0.0023,0.3124,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,2,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.1002,0.0024,0.3335,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,3,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.1,0.0021,0.3905,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,4,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.1611,0.0036,0.4829,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,5,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.1444,0.0034,0.4669,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,6,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.3443,0.0034,0.7177,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,7,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.0861,0.0017,0.2686,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,8,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.0825,0.0015,0.2809,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,9,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.1215,0.0031,0.3119,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,10,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.0947,0.0018,0.3216,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,11,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.1074,0.0021,0.3569,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,12,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.0883,0.0019,0.2545,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,13,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.1413,0.0022,0.4011,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,14,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.1683,0.0041,0.5262,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,15,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.2813,0.0034,0.5269,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,16,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.0916,0.0018,0.2948,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,17,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.0929,0.0021,0.2839,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,18,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.0991,0.0023,0.3173,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,19,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.1685,0.0031,0.4963,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,20,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.1534,0.0025,0.4273,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,21,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.1279,0.0026,0.329,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,22,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.0857,0.002,0.2506,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,23,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.1324,0.0024,0.4573,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,24,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.1454,0.0024,0.4089,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,25,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.0897,0.0017,0.2707,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,26,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.079,0.0016,0.2256,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,27,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.0794,0.0016,0.2266,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,28,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.0979,0.0017,0.2393,0,2,1 authorized read + 1 unauthorized network probe
unauthorized_network,29,True,2,1,1,1,False,False,NORMAL,NORMAL,0.5872,0.3028,0.1101,0.455,0.0815,0.0014,0.2266,0,2,1 authorized read + 1 unauthorized network probe
